Model,Target,BalancedAcc,Precision,SampleSize
mistralai/mistral-7b-instruct,Plant pathogenicity,0.701754841389336,0.2962962962962963,1201
google/palm-2-chat-bison-32k,Plant pathogenicity,0.6856825255669187,0.35294117647058826,2379
google/gemini-pro-1.5,Plant pathogenicity,0.8002435064935065,0.26804123711340205,2383
microsoft/phi-3-mini-128k-instruct,Plant pathogenicity,0.6362665171378007,0.22556390977443608,2946
google/gemma-7b-it,Plant pathogenicity,0.6524576027594136,0.14285714285714285,1518
microsoft/wizardlm-2-8x22b,Plant pathogenicity,0.7533059339838707,0.36363636363636365,3707
anthropic/claude-3-haiku:beta,Plant pathogenicity,0.7601913875598086,0.19,1005
openchat/openchat-7b,Plant pathogenicity,0.7180417259364628,0.1811320754716981,1186
google/gemini-flash-1.5,Plant pathogenicity,0.7540208136234626,0.34951456310679613,1120
google/gemini-pro,Plant pathogenicity,0.6552089215132694,0.22727272727272727,1365
anthropic/claude-3.5-sonnet,Plant pathogenicity,0.7384967320261437,0.6491228070175439,1299
mistralai/mixtral-8x7b-instruct:nitro,Plant pathogenicity,0.6810200668896321,0.24210526315789474,949
meta-llama/llama-3-70b-instruct:nitro,Plant pathogenicity,0.8208372260555374,0.2879581151832461,1290
openai/gpt-3.5-turbo-0125,Spore formation,0.9059439103256706,0.9209431345353676,3354
openai/gpt-4o,Spore formation,0.931522543064957,0.9355638166047088,3598
openai/gpt-4,Spore formation,0.9223285466467099,0.961038961038961,3634
meta-llama/llama-3-8b-instruct:nitro,Spore formation,0.8674730467611772,0.5615942028985508,1313
perplexity/llama-3-sonar-small-32k-chat,Spore formation,0.8714202006884934,0.6428571428571429,960
mistralai/mistral-7b-instruct,Spore formation,0.868988597938481,0.9094827586206896,1161
google/palm-2-chat-bison-32k,Spore formation,0.8531495703789573,0.9276807980049875,2324
google/gemini-pro-1.5,Spore formation,0.9665792103948025,0.9404761904761905,2305
microsoft/phi-3-mini-128k-instruct,Spore formation,0.7183826247689464,0.9769736842105263,2839
google/gemma-7b-it,Spore formation,0.7114590951833664,0.9731543624161074,1466
microsoft/wizardlm-2-8x22b,Spore formation,0.8868814443484765,0.9544159544159544,3588
mistralai/mixtral-8x7b-instruct:nitro,Spore formation,0.9232346691703315,0.8044280442804428,922
openchat/openchat-7b,Spore formation,0.7559740946338884,0.9781021897810219,1133
anthropic/claude-3-haiku:beta,Spore formation,0.9306825997248969,0.9181034482758621,967
google/gemini-flash-1.5,Spore formation,0.9504925271739131,0.8984962406015038,1084
google/gemini-pro,Spore formation,0.9111443805321356,0.9393939393939394,1325
anthropic/claude-3.5-sonnet,Spore formation,0.9407419303035169,0.989247311827957,1270
meta-llama/llama-3-70b-instruct:nitro,Spore formation,0.9240904094918694,0.9411764705882353,1255
openai/gpt-3.5-turbo-0125,Hemolysis,0.14417146115171306,0.09266409266409266,518
openai/gpt-4o,Hemolysis,0.24418126757516764,0.12,550
openai/gpt-4,Hemolysis,0.22630280109503906,0.07207207207207207,555
meta-llama/llama-3-70b-instruct:nitro,Hemolysis,0.2536231884057971,0.05319148936170213,188
google/gemini-pro,Hemolysis,0.05358178053830228,0.07936507936507936,189
openchat/openchat-7b,Hemolysis,0.03508771929824561,0.011627906976744186,172
google/gemini-pro-1.5,Hemolysis,0.12984673108916497,0.05714285714285714,350
microsoft/phi-3-mini-128k-instruct,Hemolysis,0.007686894386401775,0.004545454545454545,440
microsoft/wizardlm-2-8x22b,Hemolysis,0.24319023952582297,0.068762278978389,509
meta-llama/llama-3-8b-instruct:nitro,Hemolysis,0.1111111111111111,0.0392156862745098,204
mistralai/mistral-7b-instruct,Hemolysis,0.0,0.0,179
mistralai/mixtral-8x7b-instruct:nitro,Hemolysis,0.018518518518518517,0.006711409395973154,149
google/gemini-flash-1.5,Hemolysis,0.4033485540334856,0.3930635838150289,173
google/gemma-7b-it,Hemolysis,0.12851336762557947,0.03636363636363636,220
google/palm-2-chat-bison-32k,Hemolysis,0.0671892497200448,0.021798365122615803,367
perplexity/llama-3-sonar-small-32k-chat,Hemolysis,0.17543859649122806,0.06993006993006994,143
anthropic/claude-3.5-sonnet,Hemolysis,0.29469696969696973,0.11282051282051282,195
anthropic/claude-3-haiku:beta,Hemolysis,0.4000000000000001,0.07194244604316546,139
openai/gpt-3.5-turbo-0125,Cell shape,0.6843594141290852,0.881171823568137,3038
openai/gpt-4o,Cell shape,0.7096551311893895,0.8905487804878048,3280
openai/gpt-4,Cell shape,0.6324518945714904,0.8658204895738894,3309
meta-llama/llama-3-8b-instruct:nitro,Cell shape,0.4488167199533084,0.8126582278481013,1185
perplexity/llama-3-sonar-small-32k-chat,Cell shape,0.4049837486457205,0.7505827505827506,858
mistralai/mistral-7b-instruct,Cell shape,0.4933777108071094,0.815515610217597,1057
google/palm-2-chat-bison-32k,Cell shape,0.5853214285714285,0.8661008958038661,2121
google/gemini-pro-1.5,Cell shape,0.7074768622829214,0.8509822712026833,2087
microsoft/phi-3-mini-128k-instruct,Cell shape,0.486277877971957,0.4473176379776148,2591
google/gemma-7b-it,Cell shape,0.3,0.8126865671641791,1340
microsoft/wizardlm-2-8x22b,Cell shape,0.6971525368756522,0.8433292533659731,3268
mistralai/mixtral-8x7b-instruct:nitro,Cell shape,0.6288011310259294,0.8107142857142857,840
openchat/openchat-7b,Cell shape,0.49543858953850883,0.5916030534351145,1048
anthropic/claude-3-haiku:beta,Cell shape,0.6609925788497217,0.8870246085011185,894
google/gemini-flash-1.5,Cell shape,0.6118081180811809,0.8272357723577236,984
google/gemini-pro,Cell shape,0.6623313123911321,0.8635593220338983,1180
anthropic/claude-3.5-sonnet,Cell shape,0.7067987514488013,0.865582191780822,1168
meta-llama/llama-3-70b-instruct:nitro,Cell shape,0.7120274390243903,0.8858885017421603,1148
